Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales,Transaction Type
Jewelry,1,38,0,0,38,Sales
Home Decor,1,38,0,0,38,Sales
Jewelry,1,38,0,0,38,Sales
Home Decor,1,38,0,0,38,Sales
Art & Sculpture,1,38,0,0,38,Sales
Art & Sculpture,1,38,0,0,38,Sales
Art & Sculpture,1,38,0,0,38,Sales
Jewelry,1,38,0,0,38,Sales
Furniture,1,38,0,0,38,Sales
Basket,1,38,0,0,38,Sales
Art & Sculpture,1,38,0,0,38,Sales
Kids,1,38,0,0,38,Sales
Art & Sculpture,1,38,0,0,38,Sales
Art & Sculpture,1,42,-4.19,0,37.81,Sales
Basket,1,42,-4.2,0,37.8,Sales
Home Decor,2,42,-4.2,0,37.8,Sales
Home Decor,1,42,-4.2,0,37.8,Sales
Basket,1,40.6,-4.06,0,36.54,Sales
Christmas,2,40,-3.88,0,36.12,Sales
Art & Sculpture,2,38,-1.9,0,36.1,Sales
Art & Sculpture,2,36,0,0,36,Sales
Christmas,2,36,0,0,36,Sales
Soapstone,2,36,0,0,36,Sales
Jewelry,2,36,0,0,36,Sales
Kitchen,2,36,0,0,36,Sales
Art & Sculpture,2,36,0,0,36,Sales
Soapstone,2,36,0,0,36,Sales
Kitchen,2,36,0,0,36,Sales
Christmas,2,36,0,0,36,Sales
Soapstone,1,36,0,0,36,Sales
Kitchen,1,36,0,0,36,Sales
Kitchen,2,36,0,0,36,Sales
Fair Trade Gifts,2,36,0,0,36,Sales
Art & Sculpture,1,36,0,0,36,Sales
Fair Trade Gifts,1,36,0,0,36,Sales
Basket,1,48,-12,0,36,Sales
Christmas,2,36,0,0,36,Sales
Art & Sculpture,1,36,0,0,36,Sales
Kitchen,2,36,0,0,36,Sales
Art & Sculpture,2,36,0,0,36,Sales
Christmas,2,36,0,0,36,Sales
Kitchen,2,36,0,0,36,Sales
Art & Sculpture,2,36,0,0,36,Sales
Kitchen,2,36,0,0,36,Sales
Jewelry,3,36,0,0,36,Sales
Kitchen,1,36,0,0,36,Sales
Basket,1,69.75,0,-34,35.75,Sales
Basket,1,44,-8.8,0,35.2,Sales
Kitchen,1,39,-3.9,0,35.1,Sales
Art & Sculpture,2,36,-1.16,0,34.84,Sales
Music,2,37,-2.4,0,34.6,Sales
Art & Sculpture,2,36,-1.8,0,34.2,Sales
Kitchen,2,36,-1.8,0,34.2,Sales
Recycled Art,1,38,-3.8,0,34.2,Sales
Art & Sculpture,1,38,-3.8,0,34.2,Sales
Art & Sculpture,2,36,-1.8,0,34.2,Sales
Art & Sculpture,1,38,-3.8,0,34.2,Sales
Home Decor,1,38,-3.8,0,34.2,Sales
Easter,1,38,-3.8,0,34.2,Sales
Home Decor,1,38,-3.8,0,34.2,Sales
Jewelry,1,34,0,0,34,Sales
Basket,1,44,-10,0,34,Sales
Kids,1,34,0,0,34,Sales
Basket,1,34,0,0,34,Sales
Kids,1,34,0,0,34,Sales
Basket,1,34,0,0,34,Sales
Jewelry,1,34,0,0,34,Sales
Home Decor,1,34,0,0,34,Sales
Basket,1,34,0,0,34,Sales
Basket,1,34,0,0,34,Sales
Jewelry,1,34,0,0,34,Sales
Home Decor,1,34,0,0,34,Sales
Accessories,1,34,0,0,34,Sales
Basket,1,34,0,0,34,Sales
Jewelry,1,34,0,0,34,Sales
Jewelry,1,34,0,0,34,Sales
Kids,1,34,0,0,34,Sales
Basket,1,34,0,0,34,Sales
Soapstone,1,34,0,0,34,Sales
Kids,1,34,0,0,34,Sales
Basket,1,34,0,0,34,Sales
Basket,1,34,0,0,34,Sales
Jewelry,1,34,0,0,34,Sales
Art & Sculpture,1,34,0,0,34,Sales
Basket,1,34,0,0,34,Sales
Art & Sculpture,1,34,0,0,34,Sales
Basket,1,34,0,0,34,Sales
Art & Sculpture,2,36,-2.1,0,33.9,Sales
Furniture,1,45,-11.25,0,33.75,Sales
Kitchen,3,34.5,-1.05,0,33.45,Sales
Art & Sculpture,1,36,-3.6,0,32.4,Sales
Art & Sculpture,2,36,-3.6,0,32.4,Sales
Christmas,1,36,-3.6,0,32.4,Sales
Art & Sculpture,1,32,0,0,32,Sales
Art & Sculpture,1,32,0,0,32,Sales
Art & Sculpture,1,32,0,0,32,Sales
Kids,2,32,0,0,32,Sales
Kids,1,32,0,0,32,Sales
Art & Sculpture,1,32,0,0,32,Sales
Kids,1,32,0,0,32,Sales
Jewelry,2,32,0,0,32,Sales
Art & Sculpture,1,32,0,0,32,Sales
Art & Sculpture,1,32,0,0,32,Sales
Soapstone,2,32,0,0,32,Sales
Music,1,32,0,0,32,Sales
Kitchen,1,32,0,0,32,Sales
Kids,1,32,0,0,32,Sales
Art & Sculpture,1,32,0,0,32,Sales
Jewelry,1,32,0,0,32,Sales
Art & Sculpture,1,32,0,0,32,Sales
Kids,2,32,0,0,32,Sales
Kitchen,1,32,0,0,32,Sales
Kitchen,1,32,0,0,32,Sales
Soapstone,1,32,0,0,32,Sales
Soapstone,2,32,0,0,32,Sales
Kitchen,1,31.5,0,0,31.5,Sales
Kids,2,31.5,0,0,31.5,Sales
Kids,2,31.5,0,0,31.5,Sales
Kids,2,31.5,0,0,31.5,Sales
Art & Sculpture,1,36,-5,0,31,Sales
Soapstone,1,34,-3.4,0,30.6,Sales
Basket,1,34,-3.4,0,30.6,Sales
Christmas,1,34,-3.4,0,30.6,Sales
Jewelry,1,34,-3.4,0,30.6,Sales
Kids,1,34,-3.4,0,30.6,Sales
Music,2,34,-3.4,0,30.6,Sales
Kids,1,34,-3.41,0,30.59,Sales
Home Decor,1,76,-7.6,-38,30.4,Sales
Jewelry,1,32,-1.6,0,30.4,Sales
Kids,1,30,0,0,30,Sales
Kitchen,2,30,0,0,30,Sales
Kids,1,30,0,0,30,Sales
Jewelry,1,30,0,0,30,Sales
Kids,1,30,0,0,30,Sales
Soapstone,2,30,0,0,30,Sales
Fair Trade Gifts,1,30,0,0,30,Sales
Basket,1,34,-5.1,0,28.9,Sales
Kitchen,3,31.5,-2.62,0,28.88,Sales
Kitchen,1,32,-3.2,0,28.8,Sales
Kids,1,32,-3.2,0,28.8,Sales
Basket,2,34,-5.2,0,28.8,Sales
Accessories,1,32,-3.2,0,28.8,Sales
Home Decor,1,32,-3.2,0,28.8,Sales
Jewelry,1,32,-3.2,0,28.8,Sales
Basket,1,70,-7.2,-34,28.8,Sales
Kids,1,32,-3.2,0,28.8,Sales
Jewelry,1,28.5,0,0,28.5,Sales
Art & Sculpture,1,28,0,0,28,Sales
Basket,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Kitchen,1,28,0,0,28,Sales
Kitchen,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Soapstone,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Art & Sculpture,1,28,0,0,28,Sales
Accessories,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Kitchen,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Christmas,1,28,0,0,28,Sales
Art & Sculpture,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Basket,1,28,0,0,28,Sales
Basket,1,28,0,0,28,Sales
Basket,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Kitchen,1,28,0,0,28,Sales
Basket,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Basket,1,28,0,0,28,Sales
Basket,1,28,0,0,28,Sales
Art & Sculpture,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Kitchen,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Soapstone,1,28,0,0,28,Sales
Soapstone,1,28,0,0,28,Sales
Fair Trade Gifts,1,28,0,0,28,Sales
Accessories,1,28,0,0,28,Sales
Jewelry,1,28,0,0,28,Sales
Kids,1,28,0,0,28,Sales
Basket,1,28,0,0,28,Sales
Jewelry,1,68,-13.6,-27.2,27.2,Sales
Jewelry,1,34,-6.8,0,27.2,Sales
Kids,1,32,-4.81,0,27.19,Sales
Kids,1,30,-3,0,27,Sales
Kids,1,30,-3,0,27,Sales
Jewelry,1,28,-1.85,0,26.15,Sales
Jewelry,1,26,0,0,26,Sales
Art & Sculpture,1,25.6,0,0,25.6,Sales
Recycled Art,1,28,-2.8,0,25.2,Sales
Basket,1,56,-2.8,-28,25.2,Sales
Soapstone,1,28,-2.8,0,25.2,Sales
Kids,1,28,-2.8,0,25.2,Sales
Kitchen,1,28,-2.8,0,25.2,Sales
Jewelry,1,28,-2.8,0,25.2,Sales
Kitchen,1,28,-2.8,0,25.2,Sales
Kitchen,1,28,-2.8,0,25.2,Sales
Basket,1,84,-2.8,-56,25.2,Sales
Basket,1,28,-2.81,0,25.19,Sales
Art & Sculpture,2,26.4,-1.32,0,25.08,Sales
Fair Trade Gifts,1,25,0,0,25,Sales
Recycled Art,1,25,0,0,25,Sales
Art & Sculpture,1,24,0,0,24,Sales
Jewelry,1,24,0,0,24,Sales
Basket,1,24,0,0,24,Sales
Soapstone,1,24,0,0,24,Sales
Soapstone,1,24,0,0,24,Sales
Kitchen,1,24,0,0,24,Sales
Fair Trade Gifts,2,24,0,0,24,Sales
Jewelry,1,24,0,0,24,Sales
Art & Sculpture,1,24,0,0,24,Sales
Textiles,1,24,0,0,24,Sales
Art & Sculpture,1,24,0,0,24,Sales
Kitchen,1,24,0,0,24,Sales
Kitchen,1,24,0,0,24,Sales
Kids,1,24,0,0,24,Sales
Basket,1,24,0,0,24,Sales
Art & Sculpture,1,24,0,0,24,Sales
Accessories,1,24,0,0,24,Sales
Fair Trade Gifts,2,24,0,0,24,Sales
Fair Trade Gifts,1,24,0,0,24,Sales
Basket,1,28,-4.52,0,23.48,Sales
Art & Sculpture,1,26,-2.59,0,23.41,Sales
Art & Sculpture,1,26,-2.6,0,23.4,Sales
Kitchen,1,24,-1.39,0,22.61,Sales
Jewelry,1,28,-5.6,0,22.4,Sales
Jewelry,1,22,0,0,22,Sales
Kitchen,1,22,0,0,22,Sales
Jewelry,1,22,0,0,22,Sales
Kitchen,1,22,0,0,22,Sales
Jewelry,1,22,0,0,22,Sales
Jewelry,1,22,0,0,22,Sales
Music,1,22,0,0,22,Sales
Art & Sculpture,1,22,0,0,22,Sales
Soapstone,1,22,0,0,22,Sales
Art & Sculpture,1,22,0,0,22,Sales
Fair Trade Gifts,1,22,0,0,22,Sales
Art & Sculpture,1,22,0,0,22,Sales
Kitchen,1,22,0,0,22,Sales
Christmas,1,22,0,0,22,Sales
Art & Sculpture,1,22,0,0,22,Sales
Accessories,1,22,0,0,22,Sales
Art & Sculpture,1,24,-2.4,0,21.6,Sales
Home Decor,1,24,-2.4,0,21.6,Sales
Kids,1,24,-2.4,0,21.6,Sales
Soapstone,1,24,-2.4,0,21.6,Sales
Kitchen,2,22.5,-1.05,0,21.45,Sales
Recycled Art,1,25,-3.75,0,21.25,Sales
Fair Trade Gifts,1,25,-3.75,0,21.25,Sales
Soapstone,1,21,0,0,21,Sales
Soapstone,2,20,0,0,20,Sales
Jewelry,2,20,0,0,20,Sales
Christmas,1,20,0,0,20,Sales
Music,1,20,0,0,20,Sales
Kitchen,1,22,-2.2,0,19.8,Sales
Kitchen,1,22,-2.2,0,19.8,Sales
Jewelry,1,22,-2.21,0,19.79,Sales
Gift Baskets,1,19.5,0,0,19.5,Sales
Skin Care,1,18.5,0,0,18.5,Sales
Skin Care,1,18.5,0,0,18.5,Sales
Kids,1,18,0,0,18,Sales
Kids,1,18,0,0,18,Sales
Christmas,1,18,0,0,18,Sales
Kids,1,18,0,0,18,Sales
Art & Sculpture,1,18,0,0,18,Sales
Art & Sculpture,1,18,0,0,18,Sales
Christmas,1,18,0,0,18,Sales
Kitchen,1,18,0,0,18,Sales
Art & Sculpture,1,18,0,0,18,Sales
Soapstone,1,18,0,0,18,Sales
Art & Sculpture,1,18,0,0,18,Sales
Art & Sculpture,1,18,0,0,18,Sales
Christmas,1,18,0,0,18,Sales
Kitchen,1,18,0,0,18,Sales
Christmas,1,18,0,0,18,Sales
Soapstone,1,18,0,0,18,Sales
Kids,1,18,0,0,18,Sales
Christmas,1,18,0,0,18,Sales
Kitchen,1,18,0,0,18,Sales
Jewelry,1,18,0,0,18,Sales
Fair Trade Gifts,1,18,0,0,18,Sales
Kids,1,18,0,0,18,Sales
Kitchen,1,18,0,0,18,Sales
Jewelry,1,18,0,0,18,Sales
Kitchen,1,18,0,0,18,Sales
Home Decor,1,18,0,0,18,Sales
Art & Sculpture,1,18,0,0,18,Sales
Soapstone,1,18,0,0,18,Sales
Art & Sculpture,1,18,0,0,18,Sales
Kids,1,18,0,0,18,Sales
Kitchen,1,18,0,0,18,Sales
Jewelry,1,18,0,0,18,Sales
Jewelry,1,18,0,0,18,Sales
Art & Sculpture,1,18,0,0,18,Sales
Kitchen,1,18,0,0,18,Sales
Soapstone,1,18,0,0,18,Sales
Skin Care,1,18.5,-1.85,0,16.65,Sales
Music,1,16.5,0,0,16.5,Sales
Kitchen,1,16.5,0,0,16.5,Sales
Kitchen,1,18,-1.8,0,16.2,Sales
Soapstone,1,18,-1.8,0,16.2,Sales
Music,1,18,-1.8,0,16.2,Sales
Kitchen,1,18,-1.8,0,16.2,Sales
Music,1,18,-1.8,0,16.2,Sales
Christmas,1,18,-1.81,0,16.19,Sales
Kids,1,16,0,0,16,Sales
Kitchen,1,16,0,0,16,Sales
Kitchen,1,16,0,0,16,Sales
Music,1,16,0,0,16,Sales
Music,1,32,-1.6,-14.4,16,Sales
Music,1,16,0,0,16,Sales
Kitchen,1,16,0,0,16,Sales
Soapstone,1,16,0,0,16,Sales
Soapstone,1,18,-2.31,0,15.69,Sales
Jewelry,1,16,-1.6,0,14.4,Sales
Art & Sculpture,1,16,-1.6,0,14.4,Sales
Soapstone,1,18,-3.6,0,14.4,Sales
Soapstone,1,14,0,0,14,Sales
Art & Sculpture,1,14,0,0,14,Sales
Soapstone,1,14,0,0,14,Sales
Kitchen,1,14,0,0,14,Sales
Jewelry,1,14,0,0,14,Sales
Soapstone,1,13.5,0,0,13.5,Sales
Art & Sculpture,1,13.2,0,0,13.2,Sales
Jewelry,1,12,0,0,12,Sales
Soapstone,1,12,0,0,12,Sales
Kitchen,1,12,0,0,12,Sales
Fair Trade Gifts,1,12,0,0,12,Sales
Soapstone,0,26,0,-26,0,Full Return
Basket,0,34,0,-34,0,Full Return
Basket,0,48,0,-48,0,Full Return
Textiles,0,1,0,-1,0,Full Return
Basket,0,195,0,-195,0,Full Return
Basket,0,28,0,-28,0,Full Return
Kitchen,0,32,-3.21,-28.79,0,Full Return
Christmas,0,380,0,-380,0,Full Return
Kitchen,0,28,-2.81,-25.19,0,Full Return
Jewelry,0,28,0,-28,0,Full Return
Basket,0,116,-23.2,-92.8,0,Full Return
Kitchen,0,16.5,0,-16.5,0,Full Return
Kitchen,-1,0,0,-106.25,-106.25,Return Only
